AÑO,RATIO,SECTOR,VALOR
2009,VENTAS,ALQUILER HARDWARE,3987010.73
2010,VENTAS,ALQUILER HARDWARE,4132465.34
2011,VENTAS,ALQUILER HARDWARE,5243156.58
2012,VENTAS,ALQUILER HARDWARE,5204344.53
2013,VENTAS,ALQUILER HARDWARE,5459502.6
2009,VENTAS,COMERCIALIZACIÓN HARDWARE,401237745.1
2010,VENTAS,COMERCIALIZACIÓN HARDWARE,537487126.6
2011,VENTAS,COMERCIALIZACIÓN HARDWARE,630136718.3
2012,VENTAS,COMERCIALIZACIÓN HARDWARE,676493028.7
2013,VENTAS,COMERCIALIZACIÓN HARDWARE,738074892
2009,VENTAS,CONTENIDOS,485795991.2
2010,VENTAS,CONTENIDOS,579656102.9
2011,VENTAS,CONTENIDOS,729739779.4
2012,VENTAS,CONTENIDOS,849976265.7
2013,VENTAS,CONTENIDOS,958657161.9
2009,VENTAS,FABRICACIÓN HARDWARE,147492462.7
2010,VENTAS,FABRICACIÓN HARDWARE,188265536.9
2011,VENTAS,FABRICACIÓN HARDWARE,234327898.4
2012,VENTAS,FABRICACIÓN HARDWARE,252071105.5
2013,VENTAS,FABRICACIÓN HARDWARE,327812803.5
2009,VENTAS,SOFTWARE,199361821.6
2010,VENTAS,SOFTWARE,240926876.5
2011,VENTAS,SOFTWARE,288566397.9
2012,VENTAS,SOFTWARE,359475034.7
2013,VENTAS,SOFTWARE,428069449.3
2009,VENTAS,TELECOMUNICACIONES,2237821252
2010,VENTAS,TELECOMUNICACIONES,2535716320
2011,VENTAS,TELECOMUNICACIONES,2856362720
2012,VENTAS,TELECOMUNICACIONES,3251080418
2013,VENTAS,TELECOMUNICACIONES,3580740281
2009,TOTAL ACTIVO,ALQUILER HARDWARE,3755211.67
2010,TOTAL ACTIVO,ALQUILER HARDWARE,2861813
2011,TOTAL ACTIVO,ALQUILER HARDWARE,3517718.89
2012,TOTAL ACTIVO,ALQUILER HARDWARE,3279078.22
2013,TOTAL ACTIVO,ALQUILER HARDWARE,3678197.37
2009,TOTAL ACTIVO,COMERCIALIZACIÓN HARDWARE,270074694.4
2010,TOTAL ACTIVO,COMERCIALIZACIÓN HARDWARE,337511217.2
2011,TOTAL ACTIVO,COMERCIALIZACIÓN HARDWARE,390568614.7
2012,TOTAL ACTIVO,COMERCIALIZACIÓN HARDWARE,459006201.4
2013,TOTAL ACTIVO,COMERCIALIZACIÓN HARDWARE,519584265.4
2009,TOTAL ACTIVO,CONTENIDOS,433542922.7
2010,TOTAL ACTIVO,CONTENIDOS,513279377.1
2011,TOTAL ACTIVO,CONTENIDOS,613307050.6
2012,TOTAL ACTIVO,CONTENIDOS,738689803.8
2013,TOTAL ACTIVO,CONTENIDOS,789388376.9
2009,TOTAL ACTIVO,FABRICACIÓN HARDWARE,129854687.3
2010,TOTAL ACTIVO,FABRICACIÓN HARDWARE,149550450.9
2011,TOTAL ACTIVO,FABRICACIÓN HARDWARE,181166107.6
2012,TOTAL ACTIVO,FABRICACIÓN HARDWARE,226261029.5
2013,TOTAL ACTIVO,FABRICACIÓN HARDWARE,253135571.4
2009,TOTAL ACTIVO,SOFTWARE,147172771.8
2010,TOTAL ACTIVO,SOFTWARE,176342014.8
2011,TOTAL ACTIVO,SOFTWARE,243724570.1
2012,TOTAL ACTIVO,SOFTWARE,304470565.4
2013,TOTAL ACTIVO,SOFTWARE,327152949.3
2009,TOTAL ACTIVO,TELECOMUNICACIONES,4369924460
2010,TOTAL ACTIVO,TELECOMUNICACIONES,6537643465
2011,TOTAL ACTIVO,TELECOMUNICACIONES,4827312814
2012,TOTAL ACTIVO,TELECOMUNICACIONES,5116960882
2013,TOTAL ACTIVO,TELECOMUNICACIONES,5441042632
2009,TOTAL ACTIVO CORRIENTE,ALQUILER HARDWARE,2571485.7
2010,TOTAL ACTIVO CORRIENTE,ALQUILER HARDWARE,1730950.11
2011,TOTAL ACTIVO CORRIENTE,ALQUILER HARDWARE,1674606.2
2012,TOTAL ACTIVO CORRIENTE,ALQUILER HARDWARE,1869767.85
2013,TOTAL ACTIVO CORRIENTE,ALQUILER HARDWARE,1778875.24
2009,TOTAL ACTIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,211095978.5
2010,TOTAL ACTIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,279412248.2
2011,TOTAL ACTIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,321410084.4
2012,TOTAL ACTIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,386518463.5
2013,TOTAL ACTIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,443557711.8
2009,TOTAL ACTIVO CORRIENTE,CONTENIDOS,301589972.9
2010,TOTAL ACTIVO CORRIENTE,CONTENIDOS,333055650.4
2011,TOTAL ACTIVO CORRIENTE,CONTENIDOS,373531442.8
2012,TOTAL ACTIVO CORRIENTE,CONTENIDOS,432893535.3
2013,TOTAL ACTIVO CORRIENTE,CONTENIDOS,449863442
2009,TOTAL ACTIVO CORRIENTE,FABRICACIÓN HARDWARE,106413903.3
2010,TOTAL ACTIVO CORRIENTE,FABRICACIÓN HARDWARE,118503377
